0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,23,31,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,36,20,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,19,17,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,19,17,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,23,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,19,2,20,0,0,0,0,0,0,0,0
0,0,0,0,0,0,23,1,47,17,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,19,47,2,20,0,0,0,0,0,0,0
0,0,0,0,23,16,1,47,47,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,47,47,2,16,20,0,0,0,0,0
23,16,16,16,1,47,47,47,47,47,2,16,16,16,16,16,20,0,0,23,16,16,16,16,16,16,16,1,47,47,47,47,47,2,16,16,16,16,20
19,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,17,0,0,19,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,17
19,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,17,0,0,19,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,17
19,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,2,16,16,1,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,17
19,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,17
19,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,17
22,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,21
